CEC Modules,T_noct,A_c,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,Alpha_sc,Beta_oc,A_ref,I_l_ref,I_o_ref,R_s,R_sh_ref,Adjust,Gamma_r,Source
Centrosolar America EP6 240 BW,47.5,1.635,60,8.82,37.64,8.2,29.9,0.005785,-0.12571,1.6244,8.835,7.49e-010,0.374,227.03,16.12,-0.479,Multi-c-Si
Centrosolar America EP6 240 SW,47.5,1.635,60,8.82,37.64,8.2,29.9,0.005785,-0.12571,1.6244,8.835,7.49e-010,0.374,227.03,16.12,-0.479,Multi-c-Si
Centrosolar America BP6-245BB,48.7,1.577,60,8.7,37.4,8.2,29.9,0.007395,-0.13277,1.6138,8.701,7.48e-010,0.348,2629.12,9.027,-0.461,Multi-c-Si
Centrosolar America BP6-245BW,47.9,1.577,60,8.7,37.4,8.2,29.9,0.00696,-0.12679,1.5726,8.702,4.07e-010,0.358,1296.83,8.781,-0.441,Multi-c-Si
Centrosolar America BP6-245SW,47.9,1.577,60,8.7,37.4,8.2,29.9,0.00696,-0.12679,1.5726,8.702,4.07e-010,0.358,1296.83,8.781,-0.441,Multi-c-Si
Centrosolar America E245,46.8,1.611,60,8.76,37.2,8.05,30.43,0.004906,-0.17298,1.6426,8.778,1.235e-009,0.242,116.47,-13.17,-0.465,Multi-c-Si
Centrosolar America E245B,46.8,1.611,60,8.76,37.2,8.05,30.43,0.004906,-0.17298,1.6426,8.778,1.235e-009,0.242,116.47,-13.17,-0.465,Multi-c-Si
Centrosolar America EP6 245 BW,47.5,1.635,60,8.82,37.64,8.2,29.9,0.005785,-0.12571,1.6244,8.835,7.49e-010,0.374,227.03,16.12,-0.479,Multi-c-Si
Centrosolar America EP6 245 SW,47.5,1.635,60,8.82,37.64,8.2,29.9,0.005785,-0.12571,1.6244,8.835,7.49e-010,0.374,227.03,16.12,-0.479,Multi-c-Si
Centrosolar America BP6-250BB,47.4,1.637,60,8.63,37.68,8.08,30.93,0.008371,-0.14281,1.717,8.635,2.52e-009,0.22,392.52,12.67,-0.483,Multi-c-Si
Centrosolar America BP6-250BW,48.5,1.637,60,8.68,37.62,8.12,30.79,0.008767,-0.13016,1.6644,8.687,1.31e-009,0.243,318.68,16.99,-0.457,Multi-c-Si
Centrosolar America BP6-250SW,49.8,1.637,60,8.63,37.68,8.08,30.93,0.00863,-0.13037,1.6678,8.636,1.31e-009,0.232,338.14,17.11,-0.457,Multi-c-Si
Centrosolar America E260,45.3,1.739,72,7.79,43.49,7.23,36,0.0048,-0.16209,2.0064,7.797,2.941e-009,0.228,245.88,17.3,-0.519,Multi-c-Si
Centrosolar America E265,45.3,1.739,72,7.9,43.63,7.28,36.4,0.004868,-0.16261,2.0318,7.908,3.615e-009,0.176,172.31,19.2,-0.519,Multi-c-Si
Centrosolar America E265B,45.3,1.739,72,7.9,43.63,7.28,36.4,0.004868,-0.16261,2.0318,7.908,3.615e-009,0.176,172.31,19.2,-0.519,Multi-c-Si
Centrosolar America E270,47,1.739,72,7.9,43.63,7.42,36.4,0.005121,-0.16588,2.0362,7.902,3.878e-009,0.176,693,17.4,-0.53,Multi-c-Si
Centrosolar America E270B,47,1.739,72,7.9,43.63,7.42,36.4,0.005121,-0.16588,2.0362,7.902,3.878e-009,0.176,693.01,17.4,-0.53,Multi-c-Si
Centrosolar America E275,47,1.739,72,7.96,43.78,7.49,36.72,0.00516,-0.16645,2.047,7.961,4.074e-009,0.145,871.81,17.8,-0.53,Multi-c-Si
Centrosolar America E275B,47,1.739,72,7.96,43.78,7.49,36.72,0.00516,-0.16645,2.047,7.961,4.074e-009,0.145,871.81,17.8,-0.53,Multi-c-Si
Centrosolar America EP7 275 BW,47.5,1.946,72,9.37,43.45,8.71,35.59,0.006147,-0.14512,1.9098,9.382,1.21e-009,0.26,208.32,20.12,-0.479,Multi-c-Si
Centrosolar America EP7 275 SW,47.5,1.946,72,9.37,43.45,8.71,35.59,0.006147,-0.14512,1.9098,9.382,1.21e-009,0.26,208.32,20.12,-0.479,Multi-c-Si
Centrosolar America E280,46.8,1.876,72,7.98,43.78,7.63,36.72,0.008299,-0.15542,1.9691,8.06,1.779e-009,0.165,5687.94,17.56,-0.463,Multi-c-Si
Centrosolar America E280B,46.8,1.876,72,7.98,43.78,7.63,36.72,0.008299,-0.15542,1.9691,8.06,1.779e-009,0.165,5687.94,17.56,-0.463,Multi-c-Si
Centrosolar America EP7 280 BW,47.5,1.946,72,8.55,44.12,7.95,35.25,0.005609,-0.14738,1.9105,8.564,7.85e-010,0.422,267.36,16.83,-0.479,Multi-c-Si
Centrosolar America EP7 280 SW,47.5,1.946,72,8.55,44.12,7.95,35.25,0.005609,-0.14738,1.9105,8.564,7.85e-010,0.422,267.36,16.83,-0.479,Multi-c-Si
Centrosolar America BP7-285SW,47.5,1.883,72,8.6,44.6,8.1,35.6,0.00301,-0.15744,1.8223,8.604,2.01e-010,0.454,891.16,-0.7426,-0.453,Multi-c-Si
Centrosolar America E285,46.8,1.876,72,8.52,44.35,7.91,36.03,0.008861,-0.15744,1.9824,8.532,1.605e-009,0.326,239.61,16.08,-0.463,Multi-c-Si
Centrosolar America E285B,46.8,1.876,72,8.52,44.35,7.91,36.03,0.008861,-0.15744,1.9824,8.532,1.605e-009,0.326,239.61,16.08,-0.463,Multi-c-Si
Centrosolar America EP7 285 BW,47.5,1.946,72,8.68,44.81,8.07,35.33,0.005695,-0.14965,1.9252,8.695,6.66e-010,0.492,289.05,15.16,-0.479,Multi-c-Si
Centrosolar America EP7 285 SW,47.5,1.946,72,8.68,44.81,8.07,35.33,0.005695,-0.14965,1.9252,8.695,6.66e-010,0.492,289.05,15.16,-0.479,Multi-c-Si
Centrosolar America BP7-290SW,47.5,1.883,72,8.6,44.8,8.1,35.8,0.00301,-0.15814,1.8317,8.604,2.04e-010,0.45,873.87,-0.6164,-0.453,Multi-c-Si
Centrosolar America E290,46.8,1.923,72,8.61,44.5,8,36.25,0.008954,-0.15798,1.9914,8.621,1.665e-009,0.309,246.22,16.33,-0.463,Multi-c-Si
Centrosolar America E290B,46.8,1.923,72,8.61,44.5,8,36.25,0.008954,-0.15798,1.9914,8.621,1.665e-009,0.309,246.22,16.33,-0.463,Multi-c-Si
Centrosolar America EP7 290 BW,47.5,1.946,72,8.82,45.5,8.19,35.4,0.005783,-0.15196,1.9407,8.837,5.71e-010,0.561,290.39,13.58,-0.479,Multi-c-Si
Centrosolar America EP7 290 SW,47.5,1.946,72,8.82,45.5,8.19,35.4,0.005783,-0.15196,1.9407,8.837,5.71e-010,0.561,290.39,13.58,-0.479,Multi-c-Si
Centrosolar America BP7-295SW,47.5,1.886,72,8.7,45.1,8.3,36.1,0.003045,-0.1592,1.8421,8.789,2.04e-010,0.435,2072.09,-0.7917,-0.453,Multi-c-Si
Centrosolar America E295,47.7,1.94,72,8.68,44.78,8.16,36.17,0.003559,-0.15494,1.8409,8.686,2.346e-010,0.39,528.53,2.406,-0.446,Multi-c-Si
Centrosolar America E295B,47.7,1.94,72,8.68,44.78,8.16,36.17,0.003559,-0.15494,1.8409,8.686,2.346e-010,0.39,528.53,2.406,-0.446,Multi-c-Si
Centrosolar America EP7 295 BW,47.5,1.946,72,8.95,46.2,8.32,35.47,0.005873,-0.15431,1.9538,8.966,4.75e-010,0.63,358.99,11.75,-0.479,Multi-c-Si
Centrosolar America EP7 295 SW,47.5,1.946,72,8.95,46.2,8.32,35.47,0.005873,-0.15431,1.9538,8.966,4.75e-010,0.63,358.99,11.75,-0.479,Multi-c-Si
Centrosolar America BP7-300SW,48,1.95,72,8.63,45.22,8.05,37.25,0.005437,-0.15737,1.9546,8.639,7.59e-010,0.273,267.94,11.75,-0.459,Multi-c-Si
Centrosolar America E300,47.7,1.94,72,8.72,44.89,8.18,36.68,0.003575,-0.15532,1.8601,8.728,2.845e-010,0.329,375.12,3.979,-0.446,Multi-c-Si
Centrosolar America E300B,47.7,1.94,72,8.72,44.89,8.18,36.68,0.003575,-0.15532,1.8601,8.728,2.845e-010,0.329,375.12,3.979,-0.446,Multi-c-Si
Centrosolar America E305,47.7,1.94,72,8.78,45.12,8.21,37.18,0.0036,-0.15612,1.8824,8.789,3.356e-010,0.283,277.47,5.329,-0.446,Multi-c-Si
Centrosolar America E305B,47.7,1.94,72,8.78,45.12,8.21,37.18,0.0036,-0.15612,1.8824,8.789,3.356e-010,0.283,277.47,5.329,-0.446,Multi-c-Si
Centrosolar Canada SP6 220SW,48.9,1.657,60,8.12,36.5,7.4,29.8,0.006496,-0.13505,1.6554,8.141,2.06e-009,0.254,99.41,14.42,-0.48,Multi-c-Si
Centrosolar Canada SP6 225SW,48.9,1.657,60,8.18,36.7,7.53,29.9,0.006544,-0.13579,1.6515,8.196,1.77e-009,0.266,137.45,12.88,-0.48,Multi-c-Si
Centrosolar Canada SP6 230SW,48.9,1.657,60,8.34,36.8,7.67,30,0.006672,-0.13616,1.6576,8.357,1.84e-009,0.258,130.27,13.08,-0.48,Multi-c-Si
Centrosolar Canada SP6 235SW,48.9,1.657,60,8.44,36.8,7.81,30.1,0.006752,-0.13616,1.6545,8.452,1.8e-009,0.241,164.46,12.74,-0.48,Multi-c-Si
Centrosolar Canada SP6 240SW,48.9,1.657,60,8.54,37,7.95,30.2,0.006832,-0.1369,1.6551,8.549,1.64e-009,0.251,229.88,11.75,-0.48,Multi-c-Si
Centrosolar Canada SP6 245SW,48.9,1.657,60,8.64,37.1,8.08,30.3,0.006912,-0.13727,1.6555,8.647,1.58e-009,0.247,325.89,11.29,-0.48,Multi-c-Si
Centrosolar Canada SP6 250SW,48.9,1.657,60,8.74,37.2,8.22,30.4,0.006992,-0.13764,1.6548,8.743,1.5e-009,0.243,696.05,10.69,-0.48,Multi-c-Si
Centrosolar Canada SP6 255SW,48.9,1.657,60,8.85,37.4,8.35,30.5,0.00708,-0.13838,1.6584,8.851,1.42e-009,0.251,2292.6,10.07,-0.48,Multi-c-Si
Centrosolar Canada SP7 265SW,48.9,1.972,72,8.15,43.8,7.38,35.9,0.00652,-0.16206,1.9998,8.173,2.38e-009,0.278,100.88,15.75,-0.48,Multi-c-Si
Centrosolar Canada SP7 270SW,48.9,1.972,72,8.2,44,7.5,36,0.00656,-0.1628,1.9935,8.218,2.05e-009,0.292,131.11,14.23,-0.48,Multi-c-Si
Centrosolar Canada SP7 275SW,48.9,1.972,72,8.35,44.1,7.62,36.1,0.00668,-0.16317,2.0016,8.37,2.16e-009,0.284,120.78,14.58,-0.48,Multi-c-Si
Centrosolar Canada SP7 280SW,48.9,1.972,72,8.4,44.3,7.76,36.1,0.00672,-0.16391,1.9893,8.414,1.74e-009,0.312,186.68,12.48,-0.48,Multi-c-Si
Centrosolar Canada SP7 285SW,48.9,1.972,72,8.45,44.5,7.87,36.2,0.00676,-0.16465,1.9859,8.459,1.54e-009,0.323,294.27,11.28,-0.48,Multi-c-Si
CentroSolar Sonnenstromfabrik CP6230BW,46.5,1.61,60,8.48,36.39,8.03,28.65,0.010854,-0.12846,1.586,8.532,9.258e-010,0.404,100000,11.1,-0.444,Multi-c-Si
CentroSolar Sonnenstromfabrik CP6230SW,46.5,1.61,60,8.48,36.39,8.03,28.65,0.01043,-0.12846,1.5795,8.53,8.423e-010,0.406,100000,10.3,-0.444,Multi-c-Si
CentroSolar Sonnenstromfabrik CP6235BW,46.5,1.61,60,8.59,36.46,8.19,28.65,0.010995,-0.1287,1.586,8.703,9.028e-010,0.405,100000,10.7,-0.444,Multi-c-Si
