CEC Modules,T_noct,A_c,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,Alpha_sc,Beta_oc,A_ref,I_l_ref,I_o_ref,R_s,R_sh_ref,Adjust,Gamma_r,Source
Phono Solar Technology PS285P-24-T,45.4,1.94,72,8.43,45,7.93,35.95,0.004805,-0.1557,1.8772,8.435,3.26e-010,0.453,847.44,5.19,-0.452,Multi-c-Si
Phono Solar Technology PS285PB-24-T,45.4,1.94,72,8.43,45,7.93,35.95,0.004805,-0.15885,1.883,8.434,3.51e-010,0.452,874.69,3.706,-0.454,Multi-c-Si
Phono Solar Technology PS290M-24-T,45.4,1.94,72,8.45,45.5,7.97,36.4,0.003465,-0.20157,1.8838,8.452,2.73e-010,0.453,1548.88,-18.97,-0.451,Mono-c-Si
Phono Solar Technology PS290MB-24-T,45.3,1.94,72,8.45,45.5,7.97,36.4,0.004141,-0.20157,1.9038,8.452,3.52e-010,0.448,1920.85,-17.39,-0.452,Mono-c-Si
Phono Solar Technology PS290P-24-T,45.4,1.94,72,8.5,45.2,8.03,36.1,0.004845,-0.15639,1.8808,8.501,3.1e-010,0.453,7093.71,4.698,-0.452,Multi-c-Si
Phono Solar Technology PS290PB-24-T,45.4,1.94,72,8.5,45.2,8.03,36.1,0.004845,-0.15956,1.8865,8.5,3.34e-010,0.451,9615.97,3.219,-0.454,Multi-c-Si
Phono Solar Technology PS295M-24-T,45.4,1.94,72,8.53,45.7,8.07,36.55,0.003497,-0.20245,1.8985,8.624,2.99e-010,0.448,429.19,-18.47,-0.451,Mono-c-Si
Phono Solar Technology PS295MB-24-T,45.3,1.94,72,8.53,45.7,8.07,36.55,0.00418,-0.20245,1.9186,8.624,3.85e-010,0.442,453.6,-16.88,-0.452,Mono-c-Si
Phono Solar Technology PS295P-24-T,45.4,1.94,72,8.58,45.4,8.12,36.3,0.004891,-0.15708,1.8981,8.674,3.51e-010,0.44,456.54,5.618,-0.452,Multi-c-Si
Phono Solar Technology PS295PB-24-T,45.4,1.94,72,8.58,45.4,8.12,36.3,0.004891,-0.16026,1.904,8.674,3.78e-010,0.439,464.44,4.128,-0.454,Multi-c-Si
Phono Solar Technology PS300M-24-T,45.4,1.94,72,8.6,45.9,8.17,36.7,0.003526,-0.20334,1.9018,8.691,2.85e-010,0.447,754.92,-18.86,-0.451,Mono-c-Si
Phono Solar Technology PS300MB-24-T,45.3,1.94,72,8.6,45.9,8.17,36.7,0.004214,-0.20334,1.9219,8.691,3.67e-010,0.442,834.5,-17.28,-0.452,Mono-c-Si
Phono Solar Technology PS300P-24-T,45.4,1.94,72,8.65,45.6,8.24,36.4,0.004931,-0.15778,1.8976,8.739,3.19e-010,0.447,1850.1,4.711,-0.452,Multi-c-Si
Phono Solar Technology PS300PB-24-T,45.4,1.94,72,8.65,45.6,8.24,36.4,0.004931,-0.16097,1.9034,8.738,3.43e-010,0.446,1988.32,3.231,-0.454,Multi-c-Si
Phono Solar Technology PS305M-24-T,45.4,1.94,72,8.68,46.1,8.26,36.9,0.003559,-0.20422,1.9095,8.77,2.86e-010,0.44,1062.42,-18.9,-0.451,Mono-c-Si
Phono Solar Technology PS305MB-24-T,45.3,1.94,72,8.68,46.1,8.26,36.9,0.004253,-0.20422,1.9297,8.77,3.68e-010,0.435,1227.81,-17.33,-0.452,Mono-c-Si
Phono Solar Technology PS305P-24-T,45.4,1.94,72,8.73,45.7,8.36,36.5,0.004976,-0.15812,1.9064,8.912,3.43e-010,0.437,570.37,5.187,-0.452,Multi-c-Si
Phono Solar Technology PS305PB-24-T,45.4,1.94,72,8.73,45.7,8.36,36.5,0.004976,-0.16132,1.9123,8.912,3.69e-010,0.436,583.01,3.7,-0.454,Multi-c-Si
Phono Solar Technology PS310M-24-T,45.4,1.94,72,8.75,46.3,8.36,37.1,0.003588,-0.20511,1.9248,8.935,3.15e-010,0.428,406.84,-18.35,-0.451,Mono-c-Si
Phono Solar Technology PS310MB-24-T,45.3,1.94,72,8.75,46.3,8.36,37.1,0.004288,-0.20511,1.9451,8.935,4.06e-010,0.423,428.96,-16.77,-0.452,Mono-c-Si
Phono Solar Technology PS310P-24-T,45.4,1.94,72,8.8,46,8.45,36.7,0.005016,-0.15916,1.9148,8.981,3.29e-010,0.442,958.69,4.764,-0.452,Multi-c-Si
Phono Solar Technology PS310PB-24-T,45.4,1.94,72,8.8,46,8.45,36.7,0.005016,-0.16238,1.9206,8.981,3.54e-010,0.441,995.1,3.282,-0.454,Multi-c-Si
Phono Solar Technology PS315M-24-T,45.4,1.94,72,8.83,46.5,8.45,37.25,0.00362,-0.206,1.9309,9.015,3.1e-010,0.427,484.33,-18.52,-0.451,Mono-c-Si
Phono Solar Technology PS315MB-24-T,45.3,1.94,72,8.83,46.5,8.45,37.25,0.004327,-0.206,1.9513,9.015,3.99e-010,0.423,516.22,-16.94,-0.452,Mono-c-Si
Phono Solar Technology PS315P-24-T,45.4,1.94,72,8.88,46.2,8.55,36.85,0.005062,-0.15985,1.9199,9.06,3.2e-010,0.441,2843.84,4.441,-0.452,Multi-c-Si
Phono Solar Technology PS315PB-24-T,45.4,1.94,72,8.88,46.2,8.55,36.85,0.005062,-0.16309,1.9257,9.06,3.44e-010,0.44,3192.45,2.963,-0.454,Multi-c-Si
Phono Solar Technology PS320MB-24-T,45.3,1.94,72,8.9,46.7,8.55,37.4,0.004361,-0.20688,1.9548,9.083,3.81e-010,0.423,1029.77,-17.32,-0.452,Mono-c-Si
Phono Solar Technology PS320PB-24-T,45.4,1.94,72,8.95,46.4,8.64,37,0.005102,-0.16379,1.9408,9.23,3.78e-010,0.436,454.02,3.62,-0.454,Multi-c-Si
Photowatt Ontario PW2300-220,48.9,1.657,60,8.12,36.5,7.4,29.8,0.006496,-0.13505,1.6554,8.141,2.06e-009,0.254,99.41,14.42,-0.48,Multi-c-Si
Photowatt Ontario PW2300-225,48.9,1.657,60,8.18,36.7,7.53,29.9,0.006544,-0.13579,1.6515,8.196,1.77e-009,0.266,137.45,12.88,-0.48,Multi-c-Si
Photowatt Ontario PW2300-230,48.9,1.657,60,8.34,36.8,7.67,30,0.006672,-0.13616,1.6576,8.357,1.84e-009,0.258,130.27,13.08,-0.48,Multi-c-Si
Photowatt Ontario PW2300-235,48.9,1.657,60,8.44,36.8,7.81,30.1,0.006752,-0.13616,1.6545,8.452,1.8e-009,0.241,164.46,12.74,-0.48,Multi-c-Si
Photowatt Ontario PW2300-240,48.9,1.657,60,8.54,37,7.95,30.2,0.006832,-0.1369,1.6551,8.549,1.64e-009,0.251,229.88,11.75,-0.48,Multi-c-Si
Photowatt Ontario PW2300-245,48.9,1.657,60,8.64,37.1,8.08,30.3,0.006912,-0.13727,1.6555,8.647,1.58e-009,0.247,325.89,11.29,-0.48,Multi-c-Si
Photowatt Ontario PW2300-250,48.9,1.657,60,8.74,37.2,8.22,30.4,0.006992,-0.13764,1.6548,8.743,1.5e-009,0.243,696.05,10.69,-0.48,Multi-c-Si
Photowatt Ontario PW2300-255,48.9,1.657,60,8.85,37.4,8.35,30.5,0.00708,-0.13838,1.6584,8.851,1.42e-009,0.251,2292.6,10.07,-0.48,Multi-c-Si
Photowatt Ontario PW2750-265,48.9,1.972,72,8.15,43.8,7.38,35.9,0.00652,-0.16206,1.9998,8.173,2.38e-009,0.278,100.88,15.75,-0.48,Multi-c-Si
Photowatt Ontario PW2750-270,48.9,1.972,72,8.2,44,7.5,36,0.00656,-0.1628,1.9935,8.218,2.05e-009,0.292,131.11,14.23,-0.48,Multi-c-Si
Photowatt Ontario PW2750-275,48.9,1.972,72,8.35,44.1,7.62,36.1,0.00668,-0.16317,2.0016,8.37,2.16e-009,0.284,120.78,14.58,-0.48,Multi-c-Si
Photowatt Ontario PW2750-280,48.9,1.972,72,8.4,44.3,7.76,36.1,0.00672,-0.16391,1.9893,8.414,1.74e-009,0.312,186.68,12.48,-0.48,Multi-c-Si
Photowatt Ontario PW2750-285,48.9,1.972,72,8.45,44.5,7.87,36.2,0.00676,-0.16465,1.9859,8.459,1.54e-009,0.323,294.27,11.28,-0.48,Multi-c-Si
Polar Photovoltaics TFSM-T-0,49.1,0.728,47,0.92,78,0.72,58,0.000828,-0.2886,3.0408,0.961,5.295e-012,15.242,338.31,-16,-0.27,2-a-Si
Polar Photovoltaics TFSM-T-0X,49.1,0.791,47,0.92,78,0.72,58,0.000828,-0.2886,3.0408,0.961,5.295e-012,15.242,338.31,-16,-0.27,2-a-Si
Polar Photovoltaics TFSM-T-1,49.1,0.728,47,0.93,79,0.74,60,0.000837,-0.2923,3.0896,0.962,5.911e-012,13.127,376.49,-15.3,-0.27,2-a-Si
Polar Photovoltaics TFSM-T-1X,49.1,0.791,47,0.93,79,0.74,60,0.000837,-0.2923,3.0896,0.962,5.911e-012,13.127,376.49,-15.3,-0.27,2-a-Si
Polar Photovoltaics TFSM-T-2,49.1,0.728,47,0.97,79,0.77,60,0.000873,-0.2923,3.0952,1.004,6.439e-012,12.588,356.34,-15,-0.27,2-a-Si
Polar Photovoltaics TFSM-T-2X,49.1,0.791,47,0.96,79,0.77,60,0.000864,-0.2923,3.0691,0.992,5.198e-012,12.712,381.4,-16.4,-0.27,2-a-Si
Polar Photovoltaics TFSM-T-3,49.1,0.728,47,0.97,79,0.79,61,0.000873,-0.2923,3.0704,0.996,5.404e-012,11.015,418.7,-16.2,-0.27,2-a-Si
Polar Photovoltaics TFSM-T-3X,49.1,0.791,47,0.96,79,0.79,61,0.000864,-0.2923,3.0463,0.984,4.419e-012,11.128,452.46,-17.5,-0.27,2-a-Si
Polar Photovoltaics TFSM-T-4,49.1,0.728,47,0.97,79,0.82,61,0.000873,-0.2923,2.987,0.989,2.758e-012,10.986,547.82,-20.7,-0.27,2-a-Si
Polar Photovoltaics TFSM-T-4X,49.1,0.791,47,0.97,79,0.82,61,0.000873,-0.2923,2.987,0.989,2.758e-012,10.986,547.82,-20.7,-0.27,2-a-Si
Polar Photovoltaics TFSM-T-5,49.1,0.728,47,0.97,79,0.85,61,0.000873,-0.2923,2.9166,0.983,1.522e-012,10.902,787.68,-24.5,-0.27,2-a-Si
Polar Photovoltaics TFSM-T-5X,49.1,0.791,47,0.96,79,0.85,61,0.000864,-0.2923,2.8981,0.972,1.283e-012,10.982,912.93,-25.5,-0.27,2-a-Si
Powercom PPV-115M6,46.2,0.917,32,8.05,19.33,7.48,15.84,0.003784,-0.06669,0.8461,8.06,9.424e-010,0.135,104.07,15.4,-0.488,Multi-c-Si
Powercom PPV-115S6,48.7,0.894,32,8,19.8,7.4,15.5,0.0024,-0.06336,0.7991,8.024,1.354e-010,0.268,89.43,6.7,-0.45,Mono-c-Si
Powercom PPV-120M6,46.2,0.917,32,8.32,19.5,7.88,15.03,0.00391,-0.06728,0.8171,8.381,3.62e-010,0.275,100000,6.4,-0.488,Multi-c-Si
Powercom PPV-120S6,48.7,0.894,32,8.1,20,7.5,16.2,0.00243,-0.064,0.8228,8.118,2.189e-010,0.181,82.91,10.8,-0.45,Mono-c-Si
Powercom PPV-125M6,46.2,0.917,32,8.42,20,7.87,16.51,0.003957,-0.069,0.8761,8.427,1.009e-009,0.116,144.12,15.6,-0.488,Multi-c-Si
Powercom PPV-125S6,48.7,0.894,32,8.1,20.1,7.66,16.3,0.00243,-0.06432,0.8176,8.102,1.702e-010,0.18,761.95,8.5,-0.45,Mono-c-Si
Powercom PPV-130M6L,46.4,0.968,36,7.92,21.79,7.38,17.08,0.017503,-0.08171,1.0893,7.922,1.624e-008,0.238,1025.34,32.6,-0.547,Multi-c-Si
Powercom PPV-140M6,46.2,1.138,40,7.99,24.08,7.4,19.72,0.003755,-0.08308,1.0561,8.002,9.749e-010,0.17,111.41,15.8,-0.488,Multi-c-Si
Powercom PPV-145M6,46.2,1.138,40,8.23,24.09,7.7,18.7,0.003868,-0.08311,1.017,8.237,4.22e-010,0.326,377.92,7.9,-0.488,Multi-c-Si
Powercom PPV-145S6,48.7,1.108,40,8.1,25,7.5,19.3,0.00243,-0.08,1.0003,8.124,1.11e-010,0.377,124.98,4.9,-0.45,Mono-c-Si
Powercom PPV-150M6,46.2,1.138,40,8.26,24.48,7.69,20.08,0.003882,-0.08446,1.0709,8.269,9.574e-010,0.163,142.77,15.3,-0.488,Multi-c-Si
Powercom PPV-150S6,48.7,1.108,40,8.1,25.1,7.6,20,0.00243,-0.08032,1.0155,8.108,1.477e-010,0.28,276.11,7.3,-0.45,Mono-c-Si
Powercom PPV-155M6,46.2,1.138,40,8.37,24.7,7.74,19.59,0.003934,-0.08522,1.0635,8.389,6.697e-010,0.265,114.25,11.9,-0.488,Multi-c-Si
Powercom PPV-155S6,48.7,1.108,40,8.15,25.2,7.6,20.4,0.002445,-0.08064,1.0322,8.163,1.996e-010,0.229,148.56,9.9,-0.45,Mono-c-Si
Powercom PPV-175M6,46.2,1.309,48,8.17,29.18,7.6,24,0.00384,-0.10067,1.2796,8.179,9.984e-010,0.187,162.27,15.8,-0.488,Multi-c-Si
Powercom PPV-180M6L,45.4,1.296,48,8.19,29.68,7.6,23.34,0.010074,-0.10922,1.4226,8.199,7.038e-009,0.317,296.04,26.5,-0.555,Multi-c-Si
Powercom PPV-180M6,46.2,1.309,48,8.28,29.34,7.72,23.16,0.003892,-0.10122,1.2533,8.291,5.563e-010,0.335,242.2,10.3,-0.488,Multi-c-Si
Powercom PPV-180S6,48.7,1.309,48,8.38,30.3,7.4,24.4,0.002514,-0.09696,1.2797,8.438,4.016e-010,0.283,41.12,16.2,-0.45,Mono-c-Si
Powercom PPV-185M6,46.2,1.309,48,8.38,29.81,7.83,24.62,0.003939,-0.10284,1.3064,8.387,1.014e-009,0.171,209.98,15.7,-0.488,Multi-c-Si
Powercom PPV-185S6,48.7,1.309,48,8.4,30.4,7.8,24.5,0.00252,-0.09728,1.2454,8.417,2.054e-010,0.285,140.75,9.9,-0.45,Mono-c-Si
Powercom PPV-190M6,46.2,1.309,48,8.5,29.76,7.92,23.15,0.003995,-0.10267,1.2608,8.513,4.714e-010,0.383,259.03,8.6,-0.488,Multi-c-Si
Powercom PPV-190S6,48.7,1.309,48,8.45,30.5,7.72,24.6,0.002535,-0.0976,1.2617,8.48,2.568e-010,0.28,78.18,11.9,-0.45,Mono-c-Si
Powercom PPV-195M6,46.2,1.467,54,8.11,32.72,7.54,26.84,0.003812,-0.11288,1.4328,8.12,9.597e-010,0.222,179.65,15.5,-0.488,Multi-c-Si
Powercom PPV-200M6,46.2,1.467,54,8.22,32.99,7.66,27.11,0.003863,-0.11382,1.4439,8.229,9.632e-010,0.214,203.06,15.4,-0.488,Multi-c-Si
Powercom PPV-205M6,46.2,1.467,54,8.35,33,7.77,25.9,0.003925,-0.11385,1.4063,8.364,5.301e-010,0.397,240.04,9.8,-0.488,Multi-c-Si
Powercom PPV-210M6,46.2,1.467,54,8.4,33.64,7.85,27.81,0.003948,-0.11606,1.4749,8.407,1.028e-009,0.189,237.98,15.8,-0.488,Multi-c-Si
Powercom PPV-210M6L,48.4,1.611,60,7.82,36.3,7.27,28.89,0.010244,-0.13395,1.7008,7.828,4.153e-009,0.362,341.36,21.1,-0.509,Multi-c-Si
Powercom PPV-215M6,46.2,1.467,54,8.46,33.97,7.91,28.08,0.003976,-0.1172,1.4894,8.466,1.035e-009,0.19,248.1,15.8,-0.488,Multi-c-Si
Powercom PPV-220M6,46.2,1.624,60,7.99,36.12,7.4,29.58,0.003755,-0.12461,1.5841,8.002,9.749e-010,0.256,167.11,15.8,-0.488,Multi-c-Si
Powercom PPV-220M6L,47.8,1.61,60,8.13,36.9,7.54,29.2,0.01065,-0.13616,1.725,8.141,4.107e-009,0.381,283.95,20.6,-0.509,Multi-c-Si
Powercom PPV-230M6L,48.4,1.611,60,8.1,37.45,7.45,29.86,0.010611,-0.13819,1.7685,8.117,5.02e-009,0.351,167.39,22.7,-0.509,Multi-c-Si
Powercom PPV-225M6,46.2,1.624,60,8.41,36.52,7.78,28.49,0.003953,-0.12599,1.5559,8.431,5.269e-010,0.463,185.47,9.7,-0.488,Multi-c-Si
Powercom PPV-225S6,48.7,1.624,60,8.2,36.3,7.5,30,0.00246,-0.11616,1.5224,8.22,3.46e-010,0.23,95.6,14.9,-0.45,Mono-c-Si
Powercom PPV-230M6,46.2,1.624,60,8.35,37.02,7.79,30.54,0.003925,-0.12772,1.6232,8.358,1.021e-009,0.218,236.91,15.8,-0.488,Multi-c-Si
Powercom PPV-230S6,48.7,1.624,60,8.13,38,7.45,30.9,0.002439,-0.1216,1.5769,8.154,2.672e-010,0.323,108.72,12.6,-0.45,Mono-c-Si
Powercom PPV-235M6,46.2,1.624,60,8.42,37.5,7.87,30.96,0.003957,-0.12938,1.6434,8.427,1.019e-009,0.216,270.41,15.7,-0.488,Multi-c-Si
Powercom PPV-235S6,48.7,1.624,60,8.3,37.8,7.7,30.4,0.00249,-0.12096,1.5471,8.318,1.983e-010,0.368,170.58,9.7,-0.45,Mono-c-Si
Powercom PPV-240M6,46.2,1.624,60,8.51,37.32,7.88,29.62,0.004,-0.12875,1.6061,8.528,6.738e-010,0.391,181.26,11.8,-0.488,Multi-c-Si
Powercom PPV-260M6,46.2,1.938,72,8.11,43.63,7.54,35.78,0.003812,-0.15052,1.9106,8.12,9.598e-010,0.297,239.91,15.5,-0.488,Multi-c-Si
Powercom PPV-260S6,48.7,1.937,72,8.5,44,7.7,34.9,0.00255,-0.1408,1.8114,8.545,2.279e-010,0.491,92.95,10.8,-0.45,Mono-c-Si
Powercom PPV-265M6,46.2,1.938,72,8.17,43.78,7.6,36,0.00384,-0.15104,1.9189,8.179,9.878e-010,0.281,243.48,15.7,-0.488,Multi-c-Si
Powercom PPV-265S6,48.7,1.937,72,8.5,44.1,7.6,34.9,0.00255,-0.14112,1.8281,8.56,2.651e-010,0.504,72.04,12.2,-0.45,Mono-c-Si
Powercom PPV-270M6,46.2,1.938,72,8.31,43.97,7.74,34.62,0.003906,-0.1517,1.8765,8.323,5.458e-010,0.514,338.13,10.1,-0.488,Multi-c-Si
Powercom PPV-270S6,48.7,1.937,72,8.5,44.2,7.71,35,0.00255,-0.14144,1.8162,8.544,2.18e-010,0.503,96.4,10.4,-0.45,Mono-c-Si
Powercom PPV-275M6,46.2,1.938,72,8.34,44.35,7.78,36.5,0.00392,-0.15301,1.9419,8.348,9.882e-010,0.275,285.97,15.5,-0.488,Multi-c-Si
Powercom PPV-275S6,48.7,1.937,72,8.2,45,7.6,36.2,0.00246,-0.144,1.8436,8.218,2.003e-010,0.442,196.62,9.9,-0.45,Mono-c-Si
Powercom PPV-285S6,48.7,1.937,72,8.5,45.4,7.9,36.2,0.00255,-0.14528,1.8468,8.518,1.753e-010,0.478,227.13,8.4,-0.45,Mono-c-Si
Powercom PPV-290S6,48.7,1.937,72,8.5,45.5,8,36.3,0.00255,-0.1456,1.8389,8.506,1.517e-010,0.476,724.99,7.1,-0.45,Mono-c-Si
Pythagoras Solar Midi PVGU Window,47,0.181,30,1.35,19.4,1.26,16.1,-0.00189,-0.06247,0.7956,1.352,3.397e-011,0.714,633.74,11.62,-0.598,Mono-c-Si
Pythagoras Solar Large PVGU Window,47,2.204,90,6,58.2,5.6,48.4,-0.0084,-0.1874,2.3898,6.007,1.556e-010,0.461,424.67,11.88,-0.598,Mono-c-Si
Q-Cells North America Q.Peak 245,47.7,1.67,60,8.99,36.55,8.29,29.55,0.004495,-0.12427,1.5692,9.011,6.68e-010,0.29,125.83,13.04,-0.47,Mono-c-Si
Q-Cells North America Q.Peak BLK 245,47.4,1.67,60,8.63,37.64,8.11,30.19,0.004315,-0.13174,1.6083,8.635,5.88e-010,0.344,646.31,8.936,-0.48,Mono-c-Si
Q-Cells North America Q.Peak 250,47.7,1.67,60,9.04,36.96,8.37,29.86,0.00452,-0.12566,1.5822,9.058,6.31e-010,0.295,150.6,12.45,-0.47,Mono-c-Si
Q-Cells North America Q.Peak BLK 250,47.4,1.67,60,8.71,37.84,8.21,30.45,0.004355,-0.13244,1.6171,8.712,5.97e-010,0.329,1327.35,8.992,-0.48,Mono-c-Si
Q-Cells North America Q.Peak 255,47.7,1.67,60,9.09,37.35,8.46,30.16,0.004545,-0.12699,1.5935,9.104,5.9e-010,0.3,199.82,11.77,-0.47,Mono-c-Si
Q-Cells North America Q.Peak BLK 255,47.4,1.67,60,8.79,38.04,8.3,30.71,0.004395,-0.13314,1.6271,8.791,6.17e-010,0.313,3027.84,9.184,-0.48,Mono-c-Si
Q-Cells North America Q.Peak 260,47.7,1.67,60,9.15,37.73,8.54,30.45,0.004575,-0.12828,1.6065,9.161,5.69e-010,0.303,243.76,11.37,-0.47,Mono-c-Si
Q-Cells North America Q.Peak 265,47.7,1.67,60,9.2,38.11,8.62,30.74,0.0046,-0.12957,1.6185,9.208,5.4e-010,0.307,347.18,10.85,-0.47,Mono-c-Si
Q-Cells Q.Smart UF-70,51.3,0.75,118,1.66,69.1,1.4,50.2,0,-0.2073,2.6016,1.71,4.25e-012,8.21,274.04,-1.5,-0.41,CIGS
Q-Cells Q.Smart-70,51.3,0.75,118,1.66,69.1,1.4,50.2,0,-0.2073,2.6016,1.71,4.25e-012,8.21,274.04,-1.5,-0.41,CIGS
Q-Cells Q.Smart UF-80,51.3,0.75,118,1.67,71.8,1.46,54.8,0,-0.2154,2.7261,1.695,5.544e-012,6.151,412.41,0.5,-0.41,CIGS
Q-Cells Q.Smart-80,51.3,0.75,118,1.67,71.8,1.46,54.8,0,-0.2154,2.7261,1.695,5.544e-012,6.151,412.41,0.5,-0.41,CIGS
Q-Cells Q.Smart UF-85,51.3,0.75,118,1.68,73.1,1.49,57.2,0,-0.2193,2.7915,1.697,6.577e-012,5.075,503.2,1.8,-0.41,CIGS
Q-Cells Q.Smart-85,51.3,0.75,118,1.68,73.1,1.49,57.2,0,-0.2193,2.7915,1.697,6.577e-012,5.075,503.2,1.8,-0.41,CIGS
Q-Cells Q.Smart UF-90,51.3,0.75,118,1.69,75.1,1.52,59.2,0,-0.2253,2.8574,1.703,6.105e-012,4.829,643.72,1.1,-0.41,CIGS
Q-Cells Q.Smart UFL-90,49.5,0.94,150,1.63,90.1,1.38,65.2,0,-0.27931,3.4985,1.676,9.424e-012,10.932,383.76,1.7,-0.44,CIGS
Q-Cells Q.Smart-90,51.3,0.75,118,1.69,75.1,1.52,59.2,0,-0.2253,2.8574,1.703,6.105e-012,4.829,643.72,1.1,-0.41,CIGS
Q-Cells Q.Smart UF-95,51.3,0.75,118,1.7,77.2,1.55,61.3,0,-0.2316,2.9265,1.709,5.666e-012,4.586,870.14,0.4,-0.41,CIGS
Q-Cells Q.Smart UFL-95,49.5,0.94,150,1.63,90.7,1.42,66.9,0,-0.28117,3.5035,1.66,8.499e-012,9.759,527.91,0.8,-0.44,CIGS
Q-Cells Q.Smart-95,51.3,0.75,118,1.7,77.2,1.55,61.3,0,-0.2316,2.9265,1.709,5.666e-012,4.586,870.14,0.4,-0.41,CIGS
Q-Cells Q.Smart UFL-100,49.5,0.94,150,1.63,91.8,1.44,69.4,0,-0.28458,3.5701,1.651,1.025e-011,8.4,640.5,2.3,-0.44,CIGS
Q-Cells Q.Smart UFL-105,49.5,0.94,150,1.63,93.1,1.47,71.5,0,-0.28861,3.6117,1.643,9.844e-012,7.543,924.6,1.9,-0.44,CIGS
Q-Cells Q.Smart UFL-110,49.5,0.94,150,1.65,94.7,1.49,73.8,0,-0.29357,3.7017,1.662,1.21e-011,6.723,938.76,3.5,-0.44,CIGS
Q-Cells Q.Smart UFL-115,49.5,0.94,150,1.65,96.2,1.51,76.2,0,-0.29822,3.768,1.657,1.292e-011,5.844,1289.08,4,-0.44,CIGS
Q-Cells QC-C05-215,45.7,1.67,60,8.1,35.8,7.5,28.6,0.01296,-0.11814,1.6154,8.114,1.883e-009,0.346,199.59,26.4,-0.45,Multi-c-Si
Q-Cells QC-C05-220,45.7,1.67,60,8.2,36,7.6,29,0.01312,-0.1188,1.6307,8.212,2.076e-009,0.306,200.75,27.3,-0.45,Multi-c-Si
Q-Cells QC-C05-225,45.7,1.67,60,8.25,36.4,7.65,29.4,0.0132,-0.12012,1.6509,8.262,2.149e-009,0.295,204.71,27.6,-0.45,Multi-c-Si
Q-Cells Q.Base G2 230,49.1,1.67,60,8.58,36.69,7.99,28.96,0.005148,-0.11741,1.5223,8.595,2.88e-010,0.416,235.47,12.51,-0.45,Multi-c-Si
Q-Cells QC-C05-230,45.7,1.67,60,8.3,36.6,7.75,29.65,0.01328,-0.12078,1.6567,8.307,2.085e-009,0.282,337.51,27.2,-0.45,Multi-c-Si
Q-Cells Q.Base G2 235,49.1,1.67,60,8.65,36.92,8.07,29.16,0.00519,-0.11814,1.5308,8.663,2.86e-010,0.413,269.35,12.38,-0.45,Multi-c-Si
Q-Cells Q.Pro G2 235,44.3,1.67,60,8.63,37.05,8.01,29.32,0.000259,-0.12597,1.5758,8.647,5.21e-010,0.399,200.86,11.65,-0.52,Multi-c-Si
Q-Cells QC-C05-235,45.7,1.67,60,8.35,36.8,7.8,29.9,0.01336,-0.12144,1.6679,8.357,2.158e-009,0.269,342.09,27.5,-0.45,Multi-c-Si
Q-Cells Q.Base G2 240,49.1,1.67,60,8.72,37.14,8.15,29.37,0.005232,-0.11885,1.5395,8.731,2.87e-010,0.407,312.02,12.33,-0.45,Multi-c-Si
Q-Cells Q.Pro G2 240,44.3,1.67,60,8.72,37.27,8.14,29.49,0.000262,-0.12672,1.5798,8.731,4.89e-010,0.397,306.81,10.97,-0.52,Multi-c-Si
Q-Cells QC-C05-240,45.4,1.67,60,8.5,37,8,30,0.0136,-0.1221,1.6678,8.502,1.965e-009,0.276,1415.11,26.3,-0.45,Multi-c-Si
Q-Cells Q.Base G2 245,49.1,1.67,60,8.78,37.36,8.24,29.57,0.005268,-0.11955,1.5459,8.787,2.78e-010,0.402,507.26,11.97,-0.45,Multi-c-Si
Q-Cells Q.Pro G2 245,44.3,1.67,60,8.81,37.48,8.26,29.65,0.000264,-0.12743,1.5845,8.817,4.67e-010,0.396,517.73,10.45,-0.52,Multi-c-Si
Q-Cells QC-C05-245,45.4,1.67,60,8.55,37.2,8.1,30.2,0.01368,-0.12276,1.6752,8.585,1.947e-009,0.27,100000,26.1,-0.45,Multi-c-Si
Q-Cells Q.Base G2 250,49.1,1.67,60,8.85,37.59,8.32,29.78,0.00531,-0.12029,1.5548,8.855,2.78e-010,0.398,677.67,11.89,-0.45,Multi-c-Si
Q-Cells Q.Pro G2 250,44.3,1.67,60,8.9,37.7,8.39,29.81,0.000267,-0.12818,1.5885,8.901,4.38e-010,0.397,4146.37,9.785,-0.52,Multi-c-Si
Quantum Technologies QS 215W-60-156 AP 2BB,49.1,1.594,60,7.62,36.36,7.08,30.36,0.007239,-0.12944,1.6401,7.626,1.753e-009,0.164,201.17,17.6,-0.462,Multi-c-Si
Quantum Technologies QS 220W-60-156 AP 2BB,49.1,1.594,60,7.7,36.66,7.19,30.6,0.007315,-0.13051,1.6479,7.705,1.65e-009,0.167,269.86,16.9,-0.462,Multi-c-Si
Quantum Technologies QS 220W-60-156 SP 2BB,48.8,1.594,60,7.88,37.2,7.34,30,0.010086,-0.14396,1.8199,7.885,1.035e-008,0.287,458.52,24.5,-0.552,Multi-c-Si
Quantum Technologies QS 225W-60-156 AP 2BB,49.1,1.594,60,7.78,36.96,7.28,31.02,0.007391,-0.13158,1.6644,7.784,1.739e-009,0.14,304.68,17.3,-0.462,Multi-c-Si
Quantum Technologies QS 225W-60-156 SP 2BB,48.8,1.594,60,8.03,37.2,7.38,30.6,0.010278,-0.14396,1.8585,8.039,1.583e-008,0.18,157.73,28.9,-0.552,Multi-c-Si
